measure,pitch,offset,offsetMeasure,quarterLength,fullName,notehead
19,E#3,76.5,3.5,0.5,E-sharp in octave 3 Eighth Note,normal
20,F#3,77.0,0.0,0.5,F-sharp in octave 3 Eighth Note,normal
20,F#2,77.5,0.5,0.5,F-sharp in octave 2 Eighth Note,normal
20,A2,78.0,1.0,0.5,A in octave 2 Eighth Note,normal
20,A#2,78.5,1.5,0.5,A-sharp in octave 2 Eighth Note,normal
20,B2,79.0,2.0,0.5,B in octave 2 Eighth Note,normal
20,D3,79.5,2.5,0.5,D in octave 3 Eighth Note,normal
20,E3,80.0,3.0,0.5,E in octave 3 Eighth Note,normal
20,F#3,80.5,3.5,0.5,F-sharp in octave 3 Eighth Note,normal
21,G3,81.0,0.0,1.0,G in octave 3 Quarter Note,normal
21,G3,82.0,1.0,0.5,G in octave 3 Eighth Note,normal
21,F#3,82.5,1.5,0.5,F-sharp in octave 3 Eighth Note,normal
21,E3,83.0,2.0,1.0,E in octave 3 Quarter Note,normal
21,E3,84.0,3.0,0.5,E in octave 3 Eighth Note,normal
21,E#3,84.5,3.5,0.5,E-sharp in octave 3 Eighth Note,normal
22,F#3,85.0,0.0,0.5,F-sharp in octave 3 Eighth Note,normal
22,A3,85.5,0.5,0.5,A in octave 3 Eighth Note,normal
22,A#3,86.0,1.0,0.5,A-sharp in octave 3 Eighth Note,normal
22,B3,86.5,1.5,0.5+0.5,B in octave 3 Eighth Note,normal
22,B2,87.5,2.5,0.5,B in octave 2 Eighth Note,normal
22,D3,88.0,3.0,0.5,D in octave 3 Eighth Note,normal
22,D#3,88.5,3.5,0.5,D-sharp in octave 3 Eighth Note,normal
23,E3,89.0,0.0,0.5,E in octave 3 Eighth Note,normal
23,B2,89.5,0.5,0.5,B in octave 2 Eighth Note,normal
23,E3,90.0,1.0,0.5,E in octave 3 Eighth Note,normal
23,B2,90.5,1.5,0.5,B in octave 2 Eighth Note,normal
23,E3,91.0,2.0,0.5,E in octave 3 Eighth Note,normal
23,E3,91.5,2.5,0.5,E in octave 3 Eighth Note,normal
23,F#3,92.0,3.0,0.5,F-sharp in octave 3 Eighth Note,normal
24,G3,92.5,-0.5,0.5+0.5,G in octave 3 Eighth Note,normal
