Note,seconds,offset,duration,measure,Tie,Ghost,NoteValue
F#,34.7058823529412,3.0,<music21.duration.Duration 0.5>,15,,False,0.5
A,35.00000000000003,3.5,<music21.duration.Duration 0.5>,15,,False,0.5
B,35.294117647058854,0.0,<music21.duration.Duration 0.25>,16,,False,0.25
A,35.44117647058827,0.25,<music21.duration.Duration 0.25>,16,,False,0.25
F#,35.58823529411768,0.5,<music21.duration.Duration 0.5>,16,,False,0.5
B,35.88235294117651,1.0,<music21.duration.Duration 0.25>,16,,False,0.25
A,36.02941176470592,1.25,<music21.duration.Duration 0.25>,16,,False,0.25
F#,36.17647058823533,1.5,<music21.duration.Duration 0.5>,16,,False,0.5
B,36.47058823529416,2.0,<music21.duration.Duration 0.5>,16,,False,0.5
C#,36.764705882352985,2.5,<music21.duration.Duration 0.5>,16,,False,0.5
E,37.05882352941181,3.0,<music21.duration.Duration 0.25>,16,,False,0.25
C#,37.205882352941224,3.25,<music21.duration.Duration 0.25>,16,,False,0.25
B,37.35294117647064,3.5,<music21.duration.Duration 0.5>,16,,False,0.5
E,37.64705882352946,0.0,<music21.duration.Duration 1.75>,17,,False,1.75
B,38.67647058823535,1.75,<music21.duration.Duration 0.25>,17,<music21.tie.Tie start>,False,0.25
C#,39.117647058823586,2.5,<music21.duration.Duration 0.5>,17,,False,0.5
E,39.41176470588241,3.0,<music21.duration.Duration 0.5>,17,,False,0.5
C#,39.70588235294124,3.5,<music21.duration.Duration 0.5>,17,,False,0.5
E,40.000000000000064,0.0,<music21.duration.Duration 1.0>,18,<music21.tie.Tie start>,False,1.0
E,41.02941176470594,1.75,<music21.duration.Duration 0.25>,18,<music21.tie.Tie start>,False,0.25
F#,41.617647058823586,2.75,<music21.duration.Duration 0.25>,18,<music21.tie.Tie start>,False,0.25
G#,42.058823529411825,3.5,<music21.duration.Duration 0.5>,18,,False,0.5
C#,42.35294117647065,0.0,<music21.duration.Duration 1.75>,19,,False,1.75
G#,43.382352941176535,1.75,<music21.duration.Duration 0.25>,19,<music21.tie.Tie start>,False,0.25
B,43.67647058823536,2.25,<music21.duration.Duration 0.5>,19,,False,0.5
C,43.97058823529419,2.75,<music21.duration.Duration 0.25>,19,,False,0.25
C#,44.1176470588236,3.0,<music21.duration.Duration 0.25>,19,,False,0.25
B,44.26470588235301,3.25,<music21.duration.Duration 0.25>,19,,False,0.25
G#,44.411764705882426,3.5,<music21.duration.Duration 0.5>,19,,False,0.5
C#,44.70588235294125,0.0,<music21.duration.Duration 1.75>,20,,False,1.75
C#,45.88235294117655,2.0,<music21.duration.Duration 0.75>,20,,False,0.75
C#,46.32352941176478,2.75,<music21.duration.Duration 0.25>,20,<music21.tie.Tie start>,False,0.25
D#,46.76470588235302,3.5,<music21.duration.Duration 0.5>,20,,False,0.5
E,47.058823529411846,0.0,<music21.duration.Duration 1.75>,21,,False,1.75
B,48.08823529411773,1.75,<music21.duration.Duration 0.25>,21,<music21.tie.Tie start>,False,0.25
C#,48.52941176470597,2.5,<music21.duration.Duration 0.5>,21,,False,0.5
E,48.823529411764795,3.0,<music21.duration.Duration 0.5>,21,,False,0.5
C#,49.11764705882362,3.5,<music21.duration.Duration 0.5>,21,,False,0.5
E,49.41176470588245,0.0,<music21.duration.Duration 2.0>,22,,False,2.0
E,50.588235294117744,2.0,<music21.duration.Duration 0.75>,22,,False,0.75
G#,51.029411764705976,2.75,<music21.duration.Duration 0.25>,22,<music21.tie.Tie start>,False,0.25
B,51.470588235294215,3.5,<music21.duration.Duration 0.5>,22,,False,0.5
C#,51.76470588235304,0.0,<music21.duration.Duration 1.75>,23,,False,1.75
G#,52.794117647058926,1.75,<music21.duration.Duration 0.25>,23,,False,0.25
B,52.94117647058834,2.0,<music21.duration.Duration 0.5>,23,,False,0.5
C,53.235294117647165,2.5,<music21.duration.Duration 0.5>,23,,False,0.5
C#,53.52941176470599,3.0,<music21.duration.Duration 0.25>,23,,False,0.25
B,53.676470588235404,3.25,<music21.duration.Duration 0.25>,23,,False,0.25
G#,53.82352941176482,3.5,<music21.duration.Duration 0.25>,23,,False,0.25
C#,54.11764705882364,0.0,<music21.duration.Duration 0.75>,24,,False,0.75
B,54.558823529411875,0.75,<music21.duration.Duration 0.25>,24,,False,0.25
G#,54.70588235294129,1.0,<music21.duration.Duration 0.75>,24,,False,0.75
B,55.14705882352952,1.75,<music21.duration.Duration 0.25>,24,,False,0.25
C#,55.29411764705893,2.0,<music21.duration.Duration 0.5>,24,,False,0.5
B,55.73529411764717,2.75,<music21.duration.Duration 0.25>,24,<music21.tie.Tie start>,False,0.25
G#,56.17647058823541,3.5,<music21.duration.Duration 0.5>,24,,False,0.5
F#,56.47058823529424,0.0,<music21.duration.Duration 2.0>,25,<music21.tie.Tie start>,False,2.0
C#,58.088235294117766,2.75,<music21.duration.Duration 0.25>,25,,False,0.25
E,58.23529411764718,3.0,<music21.duration.Duration 0.5>,25,,False,0.5
E#,58.529411764706005,3.5,<music21.duration.Duration 0.5>,25,,False,0.5
F#,58.82352941176483,0.0,<music21.duration.Duration 1.75>,26,,False,1.75
C#,59.852941176470715,1.75,<music21.duration.Duration 0.25>,26,,False,0.25
F#,60.00000000000013,2.0,<music21.duration.Duration 0.5>,26,,False,0.5
C#,60.44117647058837,2.75,<music21.duration.Duration 0.25>,26,<music21.tie.Tie start>,False,0.25
C,60.882352941176606,3.5,<music21.duration.Duration 0.5>,26,,False,0.5
B,61.17647058823543,0.0,<music21.duration.Duration 1.5>,27,,False,1.5
D#,62.0588235294119,1.5,<music21.duration.Duration 0.5>,27,<music21.tie.Tie start>,False,0.5
E,62.50000000000014,2.25,<music21.duration.Duration 0.5>,27,,False,0.5
E#,62.79411764705897,2.75,<music21.duration.Duration 0.25>,27,,False,0.25
